Date,CFM_1,CFM_2,CFM_3,CFM_4,O2_1,O2_2,O2_3,O2_4,STATICPR_1,STATICPR_2,STATICPR_3,STATICPR_4
02:47:16 03-09-2025,0,0,0,354,0,0,0,14.6139736175537,0,0,0,5.14505386352539
02:47:46 03-09-2025,0,0,0,345,0,0,0,14.6673927307129,0,0,0,5.20914554595947
02:48:16 03-09-2025,0,0,0,324,0,0,0,14.7360744476318,0,0,0,5.22745800018311
02:48:46 03-09-2025,0,0,0,358,0,0,0,14.7971248626709,0,0,0,5.19083404541016
02:49:16 03-09-2025,0,0,0,351,0,0,0,14.8429126739502,0,0,0,5.24805927276611
02:49:46 03-09-2025,0,0,0,341,0,0,0,14.8658065795898,0,0,0,5.18396663665771
02:50:16 03-09-2025,0,0,0,328,0,0,0,14.9573822021484,0,0,0,5.22287940979004
02:50:46 03-09-2025,0,0,0,362,0,0,0,15.0031700134277,0,0,0,5.13589763641357
02:51:16 03-09-2025,0,0,0,353,0,0,0,15.0794830322266,0,0,0,5.24119186401367
02:51:47 03-09-2025,0,0,0,359,0,0,0,15.1100082397461,0,0,0,5.19770050048828
02:52:17 03-09-2025,0,0,0,360,0,0,0,15.1481647491455,0,0,0,5.18396663665771
02:52:47 03-09-2025,0,0,0,358,0,0,0,15.1252708435059,0,0,0,5.22287940979004
02:53:17 03-09-2025,0,0,0,357,0,0,0,15.2092151641846,0,0,0,5.18396663665771
02:53:47 03-09-2025,0,0,0,342,0,0,0,15.2244777679443,0,0,0,5.1748104095459
02:54:17 03-09-2025,0,0,0,351,0,0,0,15.2244777679443,0,0,0,5.15421009063721
02:54:47 03-09-2025,0,0,0,323,0,0,0,15.2321090698242,0,0,0,5.17023277282715
02:55:17 03-09-2025,0,0,0,343,0,0,0,15.2550029754639,0,0,0,5.20914554595947
02:55:47 03-09-2025,0,0,0,361,0,0,0,15.2778968811035,0,0,0,5.20227909088135
02:56:17 03-09-2025,0,0,0,339,0,0,0,15.2931594848633,0,0,0,5.15649890899658
02:56:47 03-09-2025,0,0,0,354,0,0,0,15.3389472961426,0,0,0,5.15649890899658
02:57:17 03-09-2025,0,0,0,352,0,0,0,15.3389472961426,0,0,0,5.1748104095459
02:57:47 03-09-2025,0,0,0,346,0,0,0,15.178689956665,0,0,0,5.17023277282715
02:58:17 03-09-2025,0,0,0,319,0,0,0,15.4076290130615,0,0,0,5.14505386352539
02:58:47 03-09-2025,0,0,0,334,0,0,0,15.3389472961426,0,0,0,5.17710018157959
02:59:17 03-09-2025,0,0,0,340,0,0,0,15.377103805542,0,0,0,5.20914554595947
02:59:47 03-09-2025,0,0,0,350,0,0,0,15.2931594848633,0,0,0,5.17023277282715
03:00:17 03-09-2025,0,0,0,335,0,0,0,15.377103805542,0,0,0,5.14047622680664
